dataset,scene,image,rotation_matrix,translation_vector
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170022.png,0.969779252;0.025391672;0.242659155;0.019106994;0.983611644;-0.179284849;-0.243234713;0.178503214;0.953401005,-29.852714370;-4.993067757;91.195309976
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_img_2163.png,0.520580627;-0.041135552;-0.852821011;0.046917473;0.998707773;-0.019532900;0.852522470;-0.029843758;0.521837895,2.960831671;0.152900604;2.279348159
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_8100208.png,0.870577163;-0.027862549;-0.491242386;0.123109651;0.978973717;0.162648318;0.476381588;-0.202074590;0.855702310,0.579135494;-0.299875154;-0.926909045
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_5821.png,-0.613114223;-0.034334553;-0.789247799;0.039029795;0.996518563;-0.073671084;0.789029546;-0.075972969;-0.609639633,2.454793223;0.211049531;7.791406845
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_5748.png,0.573213594;-0.055832575;-0.817501620;0.124967340;0.991961734;0.019876658;0.809820560;-0.113554574;0.575583200,1.489993793;-0.088875030;-0.424527956
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_5747.png,0.248291262;-0.039120950;-0.967895139;-0.023722303;0.998638946;-0.046448983;0.968394910;0.034493578;0.247025285,2.685940816;-0.008807371;2.888519392
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_5741.png,0.920896518;-0.257506651;0.292643004;0.389721687;0.623929370;-0.677369285;-0.008161469;0.737836341;0.674930311,-4.011933026;1.176726237;-0.336802836
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_5740.png,0.126433583;-0.071368806;-0.989404388;0.003893177;0.997436535;-0.071450690;0.991967435;0.005181840;0.126387327,2.653174397;0.163539049;3.890110502
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_25.png,0.849987498;0.021299665;0.526372090;-0.086401016;0.991288498;0.099408140;-0.519669238;-0.129974760;0.844423143,-1.944507185;-0.062682844;0.794347301
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_2316.png,0.560506979;-0.045689153;-0.826888401;0.051203389;0.998478603;-0.020461994;0.826565267;-0.030870398;0.561993664,1.303065167;0.075693117;0.707513182
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19875043841_a36e9ccb18_o.png,0.487521135;0.050092269;0.871673051;-0.308521533;0.943830483;0.118315184;-0.816784921;-0.326611059;0.475591852,-2.794168909;0.132934495;0.390325364
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19770034361_ab8a99f3a9_o.png,0.584393882;-0.037424888;-0.810606667;0.125112464;0.991146898;0.044437577;0.801767212;-0.127386045;0.583902503,1.405869153;-0.098000276;-0.177972512
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19770021361_0a7ef660e2_o.png,0.877879224;-0.027921357;-0.478067427;0.126857070;0.976193809;0.175934450;0.461774134;-0.215095432;0.860522286,0.547495811;-0.434502637;-1.151036238
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19765295615_6a8758cc07_o.png,0.910151060;0.041872889;0.412154958;-0.162440372;0.951280051;0.262067532;-0.381101265;-0.305471646;0.872610394,-1.473153778;-0.318436720;-0.784136322
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19758057422_3b2d8bf005_o.png,0.867764904;-0.028255302;-0.496171048;0.087858150;0.991379262;0.097201355;0.489147234;-0.127940595;0.862766589,0.582454474;-0.223816536;-0.928799904
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19758050972_3e8ee37d98_o.png,0.872339506;-0.025657821;-0.488226855;0.181004192;0.944610526;0.273767120;0.454159959;-0.327188982;0.828665253,0.564739250;-0.564205891;-1.086453882
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_85328479_89f3b31dfa_o.png,0.943605920;-0.033092567;-0.329412734;0.060748196;0.995405080;0.074016107;0.325449726;-0.089853267;0.941280440,1.522068784;0.466436383;2.556345709
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_palmyra_baalshamin.png,0.831261393;-0.027628472;-0.555194708;0.054865418;0.997965200;0.032484549;0.553167500;-0.057464142;0.831085790,0.708390363;0.026036943;0.087475951
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_182z.png,0.963787238;-0.035054971;-0.264358297;0.054709874;0.996227931;0.067355315;0.260999980;-0.079379202;0.962069619,0.096927298;0.028917356;-0.155709049
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19144401003_5d0dee05f5_o.png,0.258632203;0.083491890;0.962360893;-0.213234432;0.976616142;-0.027422391;-0.942146730;-0.198116164;0.270387731,-2.605480738;0.378103044;1.525822590
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_194d.png,0.995697629;0.002232802;-0.092635013;0.000903432;0.999428206;0.033800078;0.092657514;-0.033738347;0.995126278,-0.486723571;0.069757408;0.293381406
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19577278428_e8044e854b_o.png,0.999951633;0.007645251;-0.006187308;-0.006621837;0.988477956;0.151219979;0.007272132;-0.151171694;0.988480771,-0.784335093;-0.232150749;-0.934296748
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19577300988_4e4ff423a7_o.png,0.870862635;-0.027611635;-0.490750311;0.123328503;0.978756783;0.163784125;0.475802849;-0.203156976;0.855768013,0.578380093;-0.302116825;-0.928540106
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19577310688_5d2e78386b_o.png,0.609844555;-0.039345177;-0.791543793;-0.003198358;0.998636580;-0.052103287;0.792514599;0.034306546;0.608887241,1.412793418;-0.060807325;-0.287382746
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19577313278_bf436a42f4_o.png,0.514771983;-0.046195974;-0.856081619;0.083171729;0.996528126;-0.003762622;0.853283229;-0.069264896;0.516826958,1.745189791;-0.046852942;-0.010879264
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19578696189_92b41b9b79_o.png,0.999177814;0.019605588;-0.035486851;-0.006512651;0.941549931;0.336810500;0.040016010;-0.336302466;0.940903486,-0.641596011;-0.574602032;-1.059989709
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19739127926_d1f03f70ed_o.png,0.993471827;0.032824177;0.109253382;-0.064712661;0.950863400;0.302772302;-0.093946790;-0.307865829;0.946780139,-0.713320857;-0.462110152;-0.935674698
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_19739156806_e4f69d8792_o.png,0.382556170;-0.037552664;-0.923168768;0.170133915;0.984950788;0.030436745;0.908132825;-0.168706081;0.383187983,1.724917828;-0.018296553;0.250720587
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_cimg2278.png,-0.291077620;-0.044997550;-0.955640644;0.001827344;0.998865310;-0.047589427;0.956697695;-0.015598501;-0.290665111,2.395623214;0.031254666;4.475972146
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_cimg2282.png,0.370978580;-0.079052508;-0.925270552;0.275273811;0.960950193;0.028267585;0.886904292;-0.265189419;0.378253023,2.018515908;0.070440235;0.247674499
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dsc01926.png,0.960683560;0.009939493;0.277467665;-0.005374951;0.999837510;-0.017206511;-0.277593603;0.015038637;0.960580882,-1.773343231;0.091872656;1.308321506
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscf4498.png,0.966117598;-0.022689040;0.257103081;0.014132889;0.999284626;0.035078444;-0.257715052;-0.030256292;0.965747125,-1.350780998;0.202842695;4.223491231
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscf4501.png,0.881389362;0.010168573;0.472281052;-0.003886880;0.999890559;-0.014274564;-0.472374517;0.010745749;0.881332426,-1.500034685;0.019108080;1.535817556
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscf4642.png,0.402917878;-0.064753073;-0.912942617;0.046902054;0.997644270;-0.050061039;0.914033577;-0.022648396;0.405005765,2.336812533;0.396329734;12.154032565
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscf4644.png,0.937167726;0.002552028;0.348869806;-0.023746787;0.998120746;0.056489526;-0.348070028;-0.061224697;0.935467152,2.151012998;0.791259365;8.824496786
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2009.png,0.997366099;0.002233993;0.072497401;-0.002009529;0.999992960;-0.003168955;-0.072503970;0.003014922;0.997363567,-0.835355435;0.233736480;9.073406585
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2022.png,0.829564003;-0.022304928;-0.557965998;0.031993532;0.999459081;0.007613043;0.557494375;-0.024166809;0.829828890,3.361312629;0.467039580;9.839932401
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2027.png,0.693771921;-0.039026658;-0.719136595;0.029448419;0.999232832;-0.025817392;0.719592463;-0.003266054;0.694388955,1.196862813;0.203867516;8.888454715
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2032.png,0.996446520;-0.008831940;-0.083763533;0.008538593;0.999956097;-0.003859682;0.083793944;0.003130744;0.996478185,-1.141127028;0.186569629;8.241270766
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2034.png,0.999414525;-0.023069641;-0.025266550;0.022974512;0.999727852;-0.004048909;0.025353080;0.003466052;0.999672550,-0.655942508;0.177223502;8.292096005
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2063.png,0.966251625;0.009539662;0.257423370;-0.015581651;0.999648680;0.021441272;-0.257128389;-0.024728745;0.966060806,-1.252568521;0.129291778;1.241047600
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2064.png,0.962257494;0.010697099;0.271930299;-0.016198904;0.999706834;0.017995616;-0.271658078;-0.021721389;0.962148674,-1.234173208;0.127002285;1.259176039
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2065.png,0.966922700;0.014192151;0.254674448;-0.015477278;0.999875590;0.003042889;-0.254599579;-0.006883905;0.967022061,-1.255325808;0.112567429;1.237152433
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_dscn2066.png,0.474340848;-0.054472427;-0.878654377;0.056041069;0.997927859;-0.031613095;0.878555723;-0.034245348;0.476410639,1.700148533;0.126727335;1.271431585
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_hpim3190.png,0.998788447;-0.020999536;-0.044504581;0.024394541;0.996719610;0.077168168;0.042738093;-0.078160344;0.996024305,-0.538481607;0.041934776;0.060256028
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_img_1145.png,0.721383172;0.010778027;0.692452275;0.023464032;0.998924436;-0.039992636;-0.692138540;0.045097737;0.720354382,-1.440332984;0.008809971;4.726207490
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_image29.png,0.641857485;0.042721068;0.765632993;-0.019067156;0.999027343;-0.039759413;-0.766586859;0.010921433;0.642047747,-2.474405908;0.309030698;6.226648857
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_image6.png,-0.823725081;-0.007730220;-0.566936712;0.058179519;0.993476699;-0.098077477;0.563996574;-0.113772982;-0.817901934,1.589481151;0.195055921;3.806894689
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_pict0818.png,0.133626797;-0.082433907;-0.987597352;0.024910928;0.996499067;-0.079806354;0.990718590;-0.013937699;0.135212484,2.348290904;0.124855841;1.298949198
imc2024_dioscuri_baalshamin,baalshamin,baalshamin_palmyr29.png,0.794339577;-0.034819600;-0.606475253;0.050562465;0.998681355;0.008887554;0.605366066;-0.037724620;0.795052689,1.449166849;0.078482076;0.739934561
imc2024_dioscuri_baalshamin,outliers,outliers_39500842_567338329.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_04356156_8480804407.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_08766078_2117237656.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_15001797_2073024252.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_15108470_13126668493.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_16939073_1562031964.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_17617215_8679921663.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_21013750_3810761207.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_22219055_9555156398.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_22516075_5997990597.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_23943395_7008829683.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_25155127_2232385924.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_25182601_5963423001.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_25259690_2957362243.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_25404198_10162152833.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_27039750_8082864097.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_29622692_8024707719.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_29709706_5736365308.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_30202749_4422920822.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_32208117_4023556230.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_32577037_2556031968.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_36840190_2262283891.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_37941822_4613817560.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,outliers,outliers_46207490_2755733467.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_185.png,-0.163078371;0.114224986;0.979978621;0.428554677;0.902878814;-0.033922496;-0.888676732;0.414442396;-0.196191658,-0.748601238;0.284965339;2.496579662
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1512.png,-0.052724657;-0.996159153;0.069907452;0.739759810;-0.085986879;-0.667354239;0.670802158;0.016528700;0.741452134,0.401393262;0.579305521;1.886909138
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0026.png,-0.769428700;0.085406177;0.632997046;-0.164885072;0.930872702;-0.326019824;-0.617083778;-0.355220773;-0.702157969,-0.952419111;0.154789172;0.562134201
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0281.png,0.264385571;-0.175020319;-0.948402951;0.194218365;0.972909999;-0.125400796;0.944658402;-0.151043110;0.291215526,0.549234699;0.005937193;2.790188749
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_161.png,-0.164076271;0.107251719;0.980599840;0.628646191;0.777430185;0.020156233;-0.760186124;0.619757514;-0.194981231,-1.410858255;-1.272632033;9.086531621
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_templic_23.png,-0.805262807;0.103049332;0.583894380;0.256225275;0.948561046;0.185958464;-0.534696568;0.299353933;-0.790244774,-1.260634688;-1.556545816;13.909034115
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_templic_30.png,-0.989720799;0.016308073;0.142080214;0.030345732;0.994801931;0.097202133;-0.139756492;0.100514501;-0.985071042,1.614887706;-0.260140933;15.740351047
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1562.png,0.312546505;-0.093900106;-0.945249942;-0.149404482;0.977857040;-0.146539790;0.938079412;0.187025077;0.291596704,0.601670060;-0.889736497;2.059237422
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0409.png,-0.123043089;0.814032652;-0.567636539;0.971511484;-0.017937764;-0.236312658;-0.202548350;-0.580542056;-0.788634952,0.562716260;0.655797861;2.417723353
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1542.png,0.072793732;-0.989957436;-0.121183115;0.944460950;0.029381758;0.327307539;-0.320459960;-0.138278657;0.937114949,0.364554940;-0.029811714;1.096102088
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0004.png,0.553104723;-0.085204395;-0.828743251;0.106826821;0.993798072;-0.030877530;0.826234347;-0.071453500;0.558776522,0.641550030;-0.075625954;3.122520677
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0132.png,-0.871204896;-0.135632989;-0.471811108;0.476593221;-0.003189764;-0.879118153;0.117732457;-0.990754015;0.067420701,0.149505762;1.113969682;-0.335581824
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0005.png,-0.886404229;-0.058683493;-0.459177297;0.077720549;0.958985234;-0.272592804;0.456340946;-0.277314926;-0.845487654,-0.028767480;0.321570012;4.764427280
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0060.png,0.695907875;0.120819490;0.707894682;0.003398571;0.985180672;-0.171486130;-0.718123025;0.121744379;0.685184375,-0.194854295;-0.700791349;5.368981989
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0119.png,-0.056440345;0.107396248;0.992612983;-0.596916451;0.793312675;-0.119773746;-0.800315712;-0.599267090;0.019331746,-0.607902269;0.201909600;1.426608557
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1571.png,-0.679454136;-0.258513909;0.686667777;-0.667087666;0.607339579;-0.431430970;-0.305509611;-0.751205161;-0.585110829,-0.835102014;0.412249496;1.620740645
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0057.png,-0.979120464;0.010131468;-0.203028252;0.097070462;0.900832056;-0.423177188;0.178606952;-0.434049491;-0.883006567,-0.164235263;0.242661755;2.110479460
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0391.png,-0.054195575;0.926670008;-0.371948296;0.998130681;0.060813165;0.006074689;0.028248585;-0.370923785;-0.928233571,-0.027943541;0.645410477;2.546704651
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0362.png,0.077332155;0.974265309;-0.211723510;0.806021419;0.063896882;0.588427278;0.586812756;-0.216158034;-0.780337423,-0.292263851;-0.031285990;2.699143032
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_147.png,-0.207957676;0.109664168;0.971970872;0.621702227;0.781972060;0.044788826;-0.755142335;0.613590635;-0.230795550,-3.419633098;-2.023376585;16.882528200
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0244.png,0.857152858;-0.063373292;-0.511148515;0.133972342;0.985674664;0.102454230;0.497333279;-0.156298700;0.853364123,0.801600131;0.119421384;2.548921805
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0230.png,0.739580857;-0.032494674;-0.672282866;0.077213629;0.996335736;0.036785286;0.668624118;-0.079115093;0.739379869,0.499113626;-0.284127484;1.533047845
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0219.png,0.056225632;0.997696959;-0.037940178;-0.918035602;0.066599983;0.390864523;0.392491161;0.012853829;0.919665954,-0.190330630;-0.217917984;3.338481301
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0107.png,-0.185428429;0.969196717;-0.162092631;0.190403145;-0.126390072;-0.973535922;-0.964034719;-0.211384184;-0.161101790,0.071625695;0.605648326;4.321804554
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1522.png,-0.122156760;-0.886600559;0.446113411;-0.980341739;0.037613637;-0.193688638;0.154944506;-0.461003973;-0.873766294,-0.246024008;-0.378845938;2.287380015
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1582.png,-0.974800279;0.047812260;-0.217895396;0.037286854;0.997942106;0.052165543;0.219941143;0.042726352;-0.974577012,-0.278089504;-0.822855260;2.202632991
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0272.png,0.188022187;0.976903987;0.101519743;-0.606318232;0.034133282;0.794489220;0.772674484;-0.210934872;0.598732513,0.177177420;-0.762622490;2.681658999
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0311.png,0.304097706;0.933453178;-0.190236036;0.094164312;0.169262126;0.981062391;0.947975563;-0.316252268;-0.036425752,0.214507738;-0.491287717;2.402513425
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0075.png,-0.070885108;0.992693059;-0.097651378;-0.633740179;-0.120419572;-0.764115510;-0.770291300;0.007721191;0.637645431,-0.149454285;0.211673072;5.555702128
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1549.png,0.982008923;-0.022334420;-0.187509063;-0.017736591;0.977681705;-0.209341582;0.187999703;0.208901073;0.959696021,0.276292665;-0.712087110;1.303853921
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0461.png,-0.527228590;0.739265608;-0.418946743;0.484815493;-0.143202001;-0.862813493;-0.697842354;-0.658011814;-0.282907231,0.225661309;0.690079086;1.310181570
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0207.png,0.016881363;0.997135451;0.073728631;-0.995603442;0.009968872;0.093136504;0.092134719;-0.074976750;0.992919775,0.262342264;-0.471697627;4.041312067
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_261.png,0.459911637;-0.114101556;-0.880603271;-0.709032807;0.549825493;-0.441547739;0.534559412;0.827449552;0.171969396,0.185923835;0.395524015;1.956570505
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0015.png,0.495868421;0.125307497;0.859309339;-0.517442055;0.837319831;0.176491416;-0.697401053;-0.532159310;0.480039831,-0.240886056;0.103426800;1.262064584
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0336.png,0.118568414;0.946706125;-0.299481293;0.611661290;0.167952020;0.773086402;0.782184120;-0.274844743;-0.559149685,-0.065282983;-0.322476710;2.501943209
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0133.png,-0.438844029;0.785160770;-0.436965083;0.645325952;-0.063001419;-0.761304957;-0.625276206;-0.616079043;-0.479036824,0.199436459;0.926409483;1.559285978
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_154.png,-0.224426623;0.103673338;0.968960541;0.619111074;0.783037348;0.059615340;-0.752551771;0.613273471;-0.239919740,-2.925521366;-0.917656406;11.879327520
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0168.png,0.988320915;-0.057584760;0.141087788;0.064253787;0.996999202;-0.043174547;-0.138178216;0.051735733;0.989055203,0.254255963;-0.098975806;5.040604693
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0013.png,0.278333946;0.137765819;0.950552888;-0.579758430;0.813133059;0.051911377;-0.765774365;-0.565539748;0.306193428,-0.493024085;-0.150718129;0.714847145
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0297.png,0.041383390;0.984502865;-0.170415737;-0.014229048;0.171125269;0.985146525;0.999042016;-0.038343849;0.021090283,-0.415185859;-0.440817358;2.759594234
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0054.png,-0.976400347;0.035243554;-0.213073353;0.200732989;0.512086126;-0.835149129;0.079678284;-0.858210750;-0.507075615,-0.042449427;0.641169227;0.487906424
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0102.png,0.088766392;0.102462991;0.990768320;-0.271649373;0.959478115;-0.074889014;-0.958293872;-0.262493965;0.113003417,-0.709335854;0.413364328;4.290918596
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1517.png,-0.226842500;-0.970802097;0.078011341;0.042099295;-0.089798567;-0.995069780;0.973021135;-0.222439894;0.061240215,0.079773538;0.567238713;2.100122521
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0105.png,0.050611106;0.106260148;0.993049494;-0.064849864;0.992575037;-0.102904284;-0.996610762;-0.059191025;0.057126276,-0.552777648;-0.489421332;4.312149809
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0025.png,-0.956825490;0.060016680;0.284399333;-0.286184229;-0.023419372;-0.957888365;-0.050828826;-0.997922608;0.039584080,-0.591076510;0.909483794;0.100317950
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_214.png,0.997116999;-0.020351020;-0.073099424;-0.020066591;0.858342946;-0.512683838;0.073178014;0.512672627;0.855459968,-1.654973789;0.371792909;3.602237281
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0152.png,0.961906063;0.050501711;0.268675089;-0.051536189;0.998665982;-0.003205986;-0.268478579;-0.010762633;0.963225528,0.176497049;0.124689725;5.168689868
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_236.png,0.997419413;-0.027912633;-0.066146806;-0.055125854;0.292514070;-0.954670969;0.045996251;0.955853757;0.290220504,-0.553663696;0.605311192;1.710094590
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_3dom_fbk_img_1564.png,-0.514300160;-0.810779829;0.279519972;-0.237568559;-0.178486214;-0.954831844;0.824048861;-0.557475328;-0.100820307,-0.680818322;0.651618521;2.002579816
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_img_0324.png,0.235341919;0.938458421;-0.252804219;0.355098119;0.159102767;0.921190336;0.904720679;-0.306565004;-0.295801270,0.095688827;-0.432187481;2.436128733
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0008.png,-0.995401001;0.016754419;0.094319331;-0.046100290;0.779301166;-0.624951562;-0.083973865;-0.626425559;-0.774944778,-0.003272433;0.269788851;1.480381660
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0003.png,0.844063424;0.066533661;0.532099811;-0.057671769;0.997780798;-0.033278303;-0.533133102;-0.002598139;0.846027391,0.025232079;-0.079647151;4.129263627
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0030.png,-0.951523268;0.000716526;0.307575937;0.058388961;0.982234065;0.178345092;-0.301983774;0.187658544;-0.934660404,-0.578853678;-0.349748547;0.883563738
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0001.png,-0.999551516;0.023768548;0.018215982;-0.001791607;0.559738901;-0.828667094;-0.029892408;-0.828328086;-0.559445284,-0.316846862;1.028516758;1.627794999
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_archive_0010.png,-0.595920096;-0.125726220;0.793140692;-0.794046368;0.239686032;-0.558606277;-0.119873290;-0.962675191;-0.242666171,-0.703562278;0.518589685;0.926250134
imc2024_dioscuri_baalshamin,dioscuri,dioscuri_dioscuria_228.png,0.741048466;0.067838880;0.668015761;0.621204086;0.308353101;-0.720433098;-0.254858106;0.948849963;0.186362803,-0.570418645;0.544838357;1.746333634
